School,Borough,Tested,Passed,8th graders,7,Gain/Loss,% Tested,% Passed,% Passed Overall,% Asian,% Black,% Hispanic,% White,% with Disabilities,% ELL,% Poverty,Economic Need Index
P.S. 180 Hugo Newman,Manhattan,22,s,58,4,,37.9,,,2.4,51.6,29.5,10.8,16.1,7.0,71.6,69.3%
The Riverside School for Makers and Artists,Manhattan,6,s,36,3,,16.7,,,5.6,31.4,45.9,15.1,26.7,9.1,73.4,71.1%
M.S. M247 Dual Language Middle School,Manhattan,12,s,64,4,,18.8,,,0.0,1.0,97.0,2.0,25.8,24.2,89.4,83.5%
M.S. 250 West Side Collaborative Middle School,Manhattan,s,s,60,4,,#VALUE!,,,1.1,29.8,52.8,9.6,28.7,6.7,71.3,73.4%
Lafayette Academy,Manhattan,11,s,48,3,,22.9,,,1.4,50.0,34.8,10.1,23.9,15.9,84.1,81.5%
Community Action School - MS 258,Manhattan,11,s,58,4,,19.0,,,1.3,42.6,46.6,9.0,24.7,4.0,75.3,72.3%
P.S. 333 Manhattan School for Children,Manhattan,15,s,50,4,,30.0,,,6.0,11.4,17.9,59.0,18.6,2.3,17.5,28.8%
West Prep Academy,Manhattan,21,s,74,5,,28.4,,,0.5,60.6,36.5,2.0,34.5,6.4,85.7,80.6%
Special Music School,Manhattan,10,s^,16,1,,62.5,,,14.3,12.1,15.0,43.6,10.2,0.3,20.4,31.4%
Frederick Douglass Academy II Secondary School,Manhattan,s,s,9,1,,#VALUE!,,,2.8,63.8,31.1,1.1,24.3,11.6,80.2,84.9%
P.S. 007 Samuel Stern,Manhattan,s,s,51,4,,#VALUE!,,,2.8,27.5,65.5,2.5,26.6,13.2,90.5,93.8%
P.S. 050 Vito Marcantonio,Manhattan,7,s,20,1,,35.0,,,2.4,38.6,57.8,0.8,28.3,6.4,95.2,96.1%
James Weldon Johnson,Manhattan,20,s,98,7,,20.4,,,3.5,26.0,67.4,1.7,27.4,10.4,87.9,92.7%
The Lexington Academy,Manhattan,11,s,82,6,,13.4,,,2.6,13.9,80.5,2.7,24.4,11.9,90.2,90.9%
P.S. 096 Joseph Lanzetta,Manhattan,s,s,65,5,,#VALUE!,,,2.3,25.4,68.0,3.0,31.0,20.4,94.0,96.5%
P.S. 108 Assemblyman Angelo Del Toro Educational C,Manhattan,9,s,92,6,,9.8,,,3.3,31.9,62.4,1.8,32.1,9.1,89.2,92.4%
P.S. 171 Patrick Henry,Manhattan,43,s,90,6,,47.8,,,6.2,26.6,59.9,4.3,21.4,3.3,69.2,77.7%
P.S. 206 Jose Celso Barbosa,Manhattan,17,s,47,3,,36.2,,,2.5,27.9,63.8,3.0,41.9,16.1,84.1,88.6%
M.S. 224 Manhattan East School for Arts & Academic,Manhattan,14,s,55,4,,25.5,,,9.9,26.7,53.5,8.1,27.9,7.6,72.7,72.2%
Esperanza Preparatory Academy,Manhattan,s,s,71,5,,#VALUE!,,,2.1,11.1,85.0,1.6,25.6,29.7,90.5,92.7%
Renaissance School of the Arts,Manhattan,6,s,52,4,,11.5,,,1.4,32.7,61.9,2.7,30.6,8.8,93.2,93.7%
Global Technology Preparatory,Manhattan,s,s,48,3,,#VALUE!,,,3.2,34.4,58.4,0.8,40.8,9.6,86.4,90.8%
Young Women's Leadership School,Manhattan,8,s,50,4,,16.0,,,8.7,23.9,60.9,3.7,20.8,2.7,79.8,76.9%
Isaac Newton Middle School for Math & Science,Manhattan,20,s,55,4,,36.4,,,5.7,26.0,65.6,2.6,31.3,12.0,91.1,88.0%
Central Park East II,Manhattan,6,s,30,2,,20.0,,,6.5,29.5,35.0,20.5,21.7,0.4,42.2,57.7%
P.S. 046 Arthur Tappan,Manhattan,8,s,65,5,,12.3,,,0.6,48.7,48.7,0.8,29.8,10.4,94.1,95.2%
P.S. 123 Mahalia Jackson,Manhattan,s,s,53,4,,#VALUE!,,,1.5,51.4,40.7,4.2,24.8,19.6,95.4,92.7%
P.S. 129 John H. Finley,Manhattan,21,s,54,4,,38.9,,,3.4,48.5,44.4,1.1,25.3,8.5,92.9,91.8%
Eagle Academy for Young Men of Harlem,Manhattan,10,s,55,4,,18.2,,,0.3,68.9,24.5,0.6,28.0,3.1,76.1,82.1%
P.S. 161 Pedro Albizu Campos,Manhattan,16,s,124,9,,12.9,,,2.1,20.6,74.1,2.0,24.8,26.7,96.4,93.3%
Urban Assembly Academy for Future Leaders,Manhattan,15,s,80,6,,18.8,,,2.4,55.6,34.9,1.8,33.1,6.5,89.9,90.9%
Frederick Douglass Academy,Manhattan,13,s,85,6,,15.3,,,1.4,69.5,24.5,1.7,16.1,4.1,76.1,79.7%
New Design Middle School,Manhattan,11,s,66,5,,16.7,,,0.0,55.4,41.5,2.3,39.2,6.2,91.5,87.7%
Thurgood Marshall Academy for Learning and Social Change,Manhattan,10,s,58,4,,17.2,,,1.8,69.7,25.8,1.3,19.2,3.5,73.7,77.4%
P.S. 018 Park Terrace,Manhattan,6,s,52,4,,11.5,,,0.3,2.0,96.9,0.8,21.0,32.9,92.6,88.8%
J.H.S. 052 Inwood,Manhattan,13,s,120,8,,10.8,,,0.0,3.4,94.8,0.7,21.3,42.7,97.4,91.1%
J.H.S. 143 Eleanor Roosevelt,Manhattan,17,s,108,8,,15.7,,,0.0,2.3,91.7,5.3,27.9,58.9,88.7,91.0%
P.S./I.S. 187 Hudson Cliffs,Manhattan,36,s,103,7,,35.0,,,4.3,3.4,51.8,36.4,17.5,4.8,42.1,42.1%
Hamilton Grange Middle School,Manhattan,18,s,85,6,,21.2,,,1.1,12.4,83.1,1.9,22.1,23.2,92.9,85.3%
P.S./I.S. 210 - Twenty-first Century Academy for C,Manhattan,8,s,48,3,,16.7,,,0.5,2.4,96.9,0.0,22.0,35.8,91.6,86.7%
The Mott Hall School,Manhattan,81,s,87,6,,93.1,,,2.4,9.2,82.2,4.8,14.0,2.7,80.1,74.8%
City College Academy of the Arts,Manhattan,13,s,89,6,,14.6,,,1.5,3.5,91.4,3.0,14.6,5.5,82.6,80.9%
Amistad Dual Language School,Manhattan,12,s,36,3,,33.3,,,1.5,1.5,91.9,4.3,13.2,25.3,81.0,75.6%
M.S. 319 - Maria Teresa,Manhattan,27,s,147,10,,18.4,,,0.2,4.3,94.3,1.2,23.2,37.3,97.8,89.2%
Middle School 322,Manhattan,22,s,121,8,,18.2,,,0.6,3.2,94.5,1.6,20.6,39.0,92.6,90.0%
M.S. 324 - Patria Mirabal,Manhattan,20,s,151,11,,13.2,,,0.5,12.0,84.2,2.8,27.1,34.3,90.5,87.0%
Community Math & Science Prep,Manhattan,9,s,92,6,,9.8,,,3.9,12.7,82.5,0.4,35.8,50.7,99.1,92.9%
Community Health Academy of the Heights,Manhattan,16,s,94,7,,17.0,,,0.9,6.5,90.8,1.6,18.9,17.4,93.0,89.1%
Washington Heights Expeditionary Learning School,Manhattan,6,s,87,6,,6.9,,,0.9,3.4,91.7,3.4,20.6,15.5,76.3,83.2%
Harbor Heights,Manhattan,s,s,64,4,,#VALUE!,,,0.0,0.0,100.0,0.0,0.0,85.3,98.4,92.6%
Washington Heights Academy,Manhattan,15,s,55,4,,27.3,,,1.9,1.8,93.9,1.8,15.6,12.8,89.5,81.0%
I.S. 528 Bea Fuller Rodgers School,Manhattan,s,s,76,5,,#VALUE!,,,0.4,1.3,98.2,0.0,17.4,24.6,96.0,87.1%
